Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,enr,A B MILLER HIGH SCHOOL,Domestic Unknown,13
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,adm,A B MILLER HIGH SCHOOL,Domestic Unknown,28
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,app,A B MILLER HIGH SCHOOL,Domestic Unknown,30
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,enr,A B MILLER HIGH SCHOOL,Hispanic/ Latino,18
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,adm,A B MILLER HIGH SCHOOL,Hispanic/ Latino,36
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,app,A B MILLER HIGH SCHOOL,Hispanic/ Latino,52
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,enr,A B MILLER HIGH SCHOOL,All,34
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,adm,A B MILLER HIGH SCHOOL,All,68
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,app,A B MILLER HIGH SCHOOL,All,88
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,enr,ABRAHAM LINCOLN HIGH SCHOOL,Asian,22
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,adm,ABRAHAM LINCOLN HIGH SCHOOL,Asian,25
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,app,ABRAHAM LINCOLN HIGH SCHOOL,Asian,36
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,enr,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,7
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,adm,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,10
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,app,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,21
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,enr,ABRAHAM LINCOLN HIGH SCHOOL,All,33
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,adm,ABRAHAM LINCOLN HIGH SCHOOL,All,39
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,app,ABRAHAM LINCOLN HIGH SCHOOL,All,61
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,White,6
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,White,7
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,White,12
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,Asian,73
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,Asian,105
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,Asian,193
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,7
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,14
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,24
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,African American,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,African American,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,African American,6
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,All,89
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,All,132
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,All,242
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,enr,ABRAHAM LINCOLN HIGH SCHOOL,White,5
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,White,14
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,app,ABRAHAM LINCOLN HIGH SCHOOL,White,19
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,enr,ABRAHAM LINCOLN HIGH SCHOOL,Asian,7
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,Asian,14
