Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,enr,A B MILLER HIGH SCHOOL,Hispanic/ Latino,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,adm,A B MILLER HIGH SCHOOL,Hispanic/ Latino,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,app,A B MILLER HIGH SCHOOL,Hispanic/ Latino,9
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,enr,A B MILLER HIGH SCHOOL,All,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,adm,A B MILLER HIGH SCHOOL,All,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,app,A B MILLER HIGH SCHOOL,All,14
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,enr,ABRAHAM LINCOLN HIGH SCHOOL,Asian,
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,adm,ABRAHAM LINCOLN HIGH SCHOOL,Asian,4
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,app,ABRAHAM LINCOLN HIGH SCHOOL,Asian,7
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,enr,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,adm,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,app,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,6
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,enr,ABRAHAM LINCOLN HIGH SCHOOL,All,
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,adm,ABRAHAM LINCOLN HIGH SCHOOL,All,5
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,app,ABRAHAM LINCOLN HIGH SCHOOL,All,16
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,White,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,White,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,White,8
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,Asian,4
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,Asian,5
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,Asian,84
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,14
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,All,6
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,All,8
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,All,111
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,enr,ABRAHAM LINCOLN HIGH SCHOOL,White,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,White,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,app,ABRAHAM LINCOLN HIGH SCHOOL,White,14
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,enr,ABRAHAM LINCOLN HIGH SCHOOL,Asian,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,Asian,3
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,app,ABRAHAM LINCOLN HIGH SCHOOL,Asian,14
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,enr,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,5
