geoid,name,B19013001,"B19013001, Error"
04000US06,California,63783,188
16000US0600135,"Acalanes Ridge, CA",187604,87755
16000US0600156,"Acampo, CA",155385,48595
16000US0600212,"Acton, CA",91168,6304
16000US0600296,"Adelanto, CA",29647,3664
16000US0600310,"Adin, CA",55625,15484
16000US0600394,"Agoura Hills, CA",114313,7305
16000US0600450,"Agua Dulce, CA",104861,16653
16000US0600464,"Aguanga, CA",43750,20040
16000US0600478,"Ahwahnee, CA",64049,5622
16000US0600535,"Airport, CA",29868,10823
16000US0600562,"Alameda, CA",83048,2615
16000US0600618,"Alamo, CA",171767,14431
16000US0600674,"Albany, CA",85458,4077
16000US0600716,"Albion, CA",0,0
16000US0600786,"Alderpoint, CA",0,0
16000US0600884,"Alhambra, CA",53138,2660
16000US0600898,"Alhambra Valley, CA",156250,59494
16000US0600947,"Aliso Viejo, CA",103261,3288
16000US0600982,"Alleghany, CA",0,0
16000US0600996,"Allendale, CA",135161,18633
16000US0601010,"Allensworth, CA",29091,12602
16000US0601094,"Almanor, CA",0,0
16000US0601150,"Alondra Park, CA",57406,10738
16000US0601164,"Alpaugh, CA",38750,12922
16000US0601192,"Alpine, CA",79444,14671
16000US0601228,"Alpine Village, CA",68500,61294
16000US0601276,"Alta, CA",58438,13572
16000US0601290,"Altadena, CA",88236,4524
16000US0601360,"Alta Sierra, CA",64860,13563
16000US0601416,"Alto, CA",83417,57663
16000US0601444,"Alturas, CA",29839,8145
16000US0601458,"Alum Rock, CA",72079,5660
16000US0601514,"Amador City, CA",47813,28641
16000US0601640,"American Canyon, CA",83673,3075
16000US0601651,"Amesti, CA",54485,8477
16000US0602000,"Anaheim, CA",61826,1283
16000US0602028,"Anchor Bay, CA",62917,45980
16000US0602042,"Anderson, CA",35216,3711
16000US0602112,"Angels, CA",51858,15520
16000US0602168,"Angwin, CA",65656,6696
16000US0602210,"Antelope, CA",65861,3505
16000US0602252,"Antioch, CA",65530,2784
16000US0602294,"Anza, CA",29129,14118
16000US0602364,"Apple Valley, CA",47433,2707
16000US0602378,"Aptos, CA",81435,10893
16000US0602382,"Aptos Hills-Larkin Valley, CA",102885,14244
16000US0602420,"Arbuckle, CA",56824,10820
16000US0602462,"Arcadia, CA",83958,3531
16000US0602476,"Arcata, CA",31180,2894
16000US0602553,"Arden-Arcade, CA",46617,2054
16000US0602700,"Armona, CA",44038,9427
16000US0602770,"Arnold, CA",50592,11553
16000US0602812,"Aromas, CA",84609,32143
16000US0602868,"Arroyo Grande, CA",64261,6123
16000US0602896,"Artesia, CA",58651,8072
16000US0602910,"Artois, CA",42337,30718
16000US0602924,"Arvin, CA",36524,1501
16000US0602980,"Ashland, CA",47437,4099
16000US0603026,"Aspen Springs, CA",0,0
16000US0603064,"Atascadero, CA",69587,4045
16000US0603092,"Atherton, CA",250001,0
16000US0603162,"Atwater, CA",45800,4187
16000US0603190,"Auberry, CA",46705,14393
16000US0603204,"Auburn, CA",54227,5508
16000US0603205,"Auburn Lake Trails, CA",99543,11365
16000US0603209,"August, CA",31194,5480
16000US0603274,"Avalon, CA",62054,8755
16000US0603302,"Avenal, CA",35103,3926
16000US0603316,"Avery, CA",52404,37999
16000US0603330,"Avila Beach, CA",96646,27318
16000US0603344,"Avocado Heights, CA",71799,6261
16000US0603386,"Azusa, CA",56569,2894
16000US0603512,"Baker, CA",34231,10947
16000US0603526,"Bakersfield, CA",58669,1399
16000US0603666,"Baldwin Park, CA",53651,1647
16000US0603694,"Ballard, CA",109375,32716
16000US0603708,"Ballico, CA",31786,23082
16000US0603792,"Bangor, CA",51250,23924
16000US0603820,"Banning, CA",40627,2569
16000US0604030,"Barstow, CA",37085,4079
16000US0604198,"Bass Lake, CA",36292,16792
16000US0604415,"Bay Point, CA",47336,5308
16000US0604470,"Bayview, CA",79338,14744
16000US0604478,"Bayview, CA",37109,6237
16000US0604576,"Beale AFB, CA",38170,5853
16000US0604632,"Bear Creek, CA",33042,30584
16000US0604716,"Bear Valley, CA",0,0
16000US0604730,"Bear Valley, CA",44688,34803
16000US0604734,"Bear Valley Springs, CA",82528,11624
16000US0604758,"Beaumont, CA",68369,3112
16000US0604772,"Beckwourth, CA",68529,61024
16000US0604856,"Belden, CA",0,0
16000US0604870,"Bell, CA",38823,2170
16000US0604926,"Bella Vista, CA",51625,6323
16000US0604938,"Bell Canyon, CA",201875,35230
16000US0604982,"Bellflower, CA",50704,1721
16000US0604996,"Bell Gardens, CA",37183,1615
16000US0605108,"Belmont, CA",120169,6271
16000US0605164,"Belvedere, CA",178750,32627
16000US0605262,"Benbow, CA",45795,20546
16000US0605276,"Bend, CA",49375,8708
16000US0605290,"Benicia, CA",87011,5834
16000US0605332,"Ben Lomond, CA",68679,9704
16000US0605346,"Benton, CA",38333,27543
16000US0606000,"Berkeley, CA",70393,3036
16000US0606028,"Bermuda Dunes, CA",57569,6873
16000US0606070,"Berry Creek, CA",36912,6076
16000US0606150,"Bertsch-Oceanview, CA",32218,8127
